name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Auckland,New Zealand",1/01/2023,22.2,16.9,19.1,22.2,16.9,19.1,12.7,66.7,1.342,100,8.33,rain,0,0,31.3,25.9,89.5,1021.4,72.3,13.2,285,24.7,10,10,2023-01-01T06:04:58,2023-01-01T20:43:15,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D0000,93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",2/01/2023,21,16.1,18.3,21,16.1,18.3,13.3,72.7,0.358,100,8.33,rain,0,0,48.2,31.7,94,1020.4,86.9,13.5,209.5,18.3,7,10,2023-01-02T06:05:45,2023-01-02T20:43:24,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",3/01/2023,22.8,17,19.8,22.8,17,19.8,14.1,70.1,0.008,100,4.17,rain,0,0,57.6,42.5,74.2,1017.2,79.7,13.4,230.6,19.9,9,10,2023-01-03T06:06:33,2023-01-03T20:43:31,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",4/01/2023,21.1,18,19,21.1,18,19,16.6,86.2,2.582,100,20.83,rain,0,0,70.6,46.4,68.4,1012.5,79,9.5,65,5.6,2,10,2023-01-04T06:07:22,2023-01-04T20:43:35,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",5/01/2023,21.8,18.1,19.6,21.8,18.1,19.6,18.2,92,26.704,100,25,rain,0,0,66.2,44.6,60.3,1010.9,95.9,8.8,69.1,6.1,2,10,2023-01-05T06:08:12,2023-01-05T20:43:38,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",6/01/2023,21,19.1,20.1,21,19.1,20.1,19,93.6,6.007,100,16.67,rain,0,0,50,29.5,62.2,1010.4,94.1,8.6,60.2,5.1,2,10,2023-01-06T06:09:04,2023-01-06T20:43:39,0.47,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",7/01/2023,22.1,19.1,20.5,22.1,19.1,20.5,19.6,94.7,6.09,100,16.67,rain,0,0,26.3,14.8,174.1,1007.8,84.4,11.6,97,8.4,3,10,2023-01-07T06:09:57,2023-01-07T20:43:38,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",8/01/2023,25.8,17.1,20.9,25.8,17.1,20.9,19.1,89.8,3.259,100,12.5,rain,0,0,31.7,20.5,232.9,1010.2,46.3,12.1,208.5,18,10,10,2023-01-08T06:10:51,2023-01-08T20:43:34,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"93119099999,E2751,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",9/01/2023,25.8,18.9,21.7,25.8,18.9,21.7,17.3,77.7,2.991,100,12.5,rain,0,0,50.8,33.5,112.4,1008.7,73,13.5,198.2,17,7,10,2023-01-09T06:11:46,2023-01-09T20:43:29,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",10/01/2023,19.9,16.2,18.4,19.9,16.2,18.4,16.9,91.4,19.907,100,25,rain,0,0,66.2,38.9,145.6,998.4,85.5,11,106.3,9,4,10,2023-01-10T06:12:43,2023-01-10T20:43:22,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
